window_start,window_end,node_uuid,node_addr,leadership_time_ms,votes_granted,votes_rejected,pre_vote_rejections,follower_behind_events,snapshots_installed,invocation_retries,invocation_timeouts,suspecting_others,was_suspected,tcp_disconnects,tcp_connect_timeouts,node_risk_score,asymmetry_score
1970-01-01 15:56:00,1970-01-01 15:57:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:56:00,1970-01-01 15:57:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:56:00,1970-01-01 15:57:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:56:00,1970-01-01 15:57:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:57:00,1970-01-01 15:58:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:57:00,1970-01-01 15:58:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:57:00,1970-01-01 15:58:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:57:00,1970-01-01 15:58:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:58:00,1970-01-01 15:59:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:58:00,1970-01-01 15:59:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:58:00,1970-01-01 15:59:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:58:00,1970-01-01 15:59:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:59:00,1970-01-01 16:00:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:59:00,1970-01-01 16:00:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:59:00,1970-01-01 16:00:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:59:00,1970-01-01 16:00:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 16:00:00,1970-01-01 16:01:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 16:00:00,1970-01-01 16:01:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 16:00:00,1970-01-01 16:01:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 16:00:00,1970-01-01 16:01:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 16:01:00,1970-01-01 16:02:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 16:01:00,1970-01-01 16:02:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 16:01:00,1970-01-01 16:02:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 16:01:00,1970-01-01 16:02:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 16:02:00,1970-01-01 16:03:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
